2019/04/22 14:45:17 [INFO]: [main]  server start...
2019/04/22 14:45:17 [INFO]: Log system start!
2019/04/22 14:47:06 [INFO]: [Instance.onLogin]  Client login from manager
2019/04/22 14:47:06 [INFO]: [Clinet.parseMessage]  Little chicken send: Header_SetNameReq
2019/04/22 14:47:06 [INFO]: [Clinet.parseMessage]  Ann Header_SetNameReq handle result 0
2019/04/22 14:47:06 [INFO]: [Clinet.parseMessage]  Ann send: Header_MessageReq
2019/04/22 14:47:06 [INFO]: [Clinet.parseMessage]  Ann Header_MessageReq handle result 0
2019/04/22 14:47:06 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:47:06 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:47:08 [INFO]: [Clinet.parseMessage]  Ann send: Header_MessageReq
2019/04/22 14:47:08 [INFO]: [Clinet.parseMessage]  Ann Header_MessageReq handle result 0
2019/04/22 14:47:09 [INFO]: [Clinet.parseMessage]  Ann send: Header_MessageReq
2019/04/22 14:47:09 [INFO]: [Clinet.parseMessage]  Ann Header_MessageReq handle result 0
2019/04/22 14:47:11 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:47:11 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:47:16 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:47:16 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:47:21 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:47:21 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:47:26 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:47:26 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:47:31 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:47:31 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:47:36 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:47:36 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:47:41 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:47:41 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:47:41 [INFO]: [Instance.onLogin]  Client login from manager
2019/04/22 14:47:41 [INFO]: [Clinet.parseMessage]  Little chicken send: Header_SetNameReq
2019/04/22 14:47:41 [INFO]: [Clinet.parseMessage]  Rance Header_SetNameReq handle result 0
2019/04/22 14:47:41 [INFO]: [Clinet.parseMessage]  Rance send: Header_MessageReq
2019/04/22 14:47:41 [INFO]: [Clinet.parseMessage]  Rance Header_MessageReq handle result 0
2019/04/22 14:47:41 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:47:41 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:47:46 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:47:46 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:47:46 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:47:46 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:47:47 [INFO]: [Clinet.parseMessage]  Rance send: Header_MessageReq
2019/04/22 14:47:47 [INFO]: [Clinet.parseMessage]  Rance Header_MessageReq handle result 0
2019/04/22 14:47:50 [INFO]: [Clinet.parseMessage]  Ann send: Header_MessageReq
2019/04/22 14:47:50 [INFO]: [Clinet.parseMessage]  Ann Header_MessageReq handle result 0
2019/04/22 14:47:51 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:47:51 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:47:51 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:47:51 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:47:55 [INFO]: [Clinet.parseMessage]  Ann send: Header_MessageReq
2019/04/22 14:47:55 [INFO]: [Clinet.parseMessage]  Ann Header_MessageReq handle result 0
2019/04/22 14:47:55 [INFO]: [Clinet.parseMessage]  Ann send: Header_MessageReq
2019/04/22 14:47:55 [INFO]: [Clinet.parseMessage]  Ann Header_MessageReq handle result 0
2019/04/22 14:47:56 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:47:56 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:47:56 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:47:56 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:47:58 [INFO]: [Clinet.parseMessage]  Rance send: Header_MessageReq
2019/04/22 14:47:58 [INFO]: [Clinet.parseMessage]  Rance Header_MessageReq handle result 0
2019/04/22 14:47:59 [INFO]: [Clinet.parseMessage]  Rance send: Header_MessageReq
2019/04/22 14:47:59 [INFO]: [Clinet.parseMessage]  Rance Header_MessageReq handle result 0
2019/04/22 14:48:01 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:48:01 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:48:02 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:48:02 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:48:06 [INFO]: [Clinet.parseMessage]  Ann send: Header_HeartBeat
2019/04/22 14:48:06 [INFO]: [Clinet.parseMessage]  Ann Header_HeartBeat handle result 0
2019/04/22 14:48:07 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
